Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
RCB,Warriors,RCB,26 runs,Bengaluru,"Apr 29, 2011",Twenty20
RR,MI,RR,7 wickets,Jaipur,"Apr 29, 2011",Twenty20
Daredevils,KKR,KKR,17 runs,Delhi,"Apr 28, 2011",Twenty20
Kochi,Chargers,Chargers,55 runs,Kochi,"Apr 27, 2011",Twenty20
Warriors,CSK,CSK,8 wickets,DY Patil,"Apr 27, 2011",Twenty20
Daredevils,RCB,RCB,3 wickets,Delhi,"Apr 26, 2011",Twenty20
CSK,Warriors,CSK,25 runs,Chennai,"Apr 25, 2011",Twenty20
RR,Kochi,RR,8 wickets,Jaipur,"Apr 24, 2011",Twenty20
Chargers,MI,MI,37 runs,Hyderabad,"Apr 24, 2011",Twenty20
Daredevils,Kings XI,Daredevils,29 runs,Delhi,"Apr 23, 2011",Twenty20
MI,CSK,MI,8 runs,Wankhede,"Apr 22, 2011",Twenty20
KKR,RCB,RCB,9 wickets,Eden Gardens,"Apr 22, 2011",Twenty20
Kings XI,RR,Kings XI,48 runs,Mohali,"Apr 21, 2011",Twenty20
KKR,Kochi,Kochi,6 runs,Eden Gardens,"Apr 20, 2011",Twenty20
MI,Warriors,MI,7 wickets,Wankhede,"Apr 20, 2011",Twenty20
Daredevils,Chargers,Chargers,16 runs,Delhi,"Apr 19, 2011",Twenty20
Kochi,CSK,Kochi,7 wickets,Kochi,"Apr 18, 2011",Twenty20
KKR,RR,KKR,8 wickets,Eden Gardens,"Apr 17, 2011",Twenty20
Warriors,Daredevils,Daredevils,3 wickets,DY Patil,"Apr 17, 2011",Twenty20
Chargers,Kings XI,Kings XI,8 wickets,Hyderabad,"Apr 16, 2011",Twenty20
CSK,RCB,CSK,21 runs,Chennai,"Apr 16, 2011",Twenty20
MI,Kochi,Kochi,8 wickets,Wankhede,"Apr 15, 2011",Twenty20
RR,KKR,KKR,9 wickets,Jaipur,"Apr 15, 2011",Twenty20
Chargers,RCB,Chargers,33 runs,Hyderabad,"Apr 14, 2011",Twenty20
Warriors,Kochi,Warriors,4 wickets,DY Patil,"Apr 13, 2011",Twenty20
Kings XI,CSK,Kings XI,6 wickets,Mohali,"Apr 13, 2011",Twenty20
RCB,MI,MI,9 wickets,Bengaluru,"Apr 12, 2011",Twenty20
RR,Daredevils,RR,6 wickets,Jaipur,"Apr 12, 2011",Twenty20
KKR,Chargers,KKR,9 runs,Eden Gardens,"Apr 11, 2011",Twenty20
Warriors,Kings XI,Warriors,7 wickets,DY Patil,"Apr 10, 2011",Twenty20
Daredevils,MI,MI,8 wickets,Delhi,"Apr 10, 2011",Twenty20
Kochi,RCB,RCB,6 wickets,Kochi,"Apr 9, 2011",Twenty20
Chargers,RR,RR,8 wickets,Hyderabad,"Apr 9, 2011",Twenty20
CSK,KKR,CSK,2 runs,Chennai,"Apr 8, 2011",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
CSK,KKR,KKR,5 wickets,Chennai,"May 27, 2012",Twenty20
CSK,Daredevils,CSK,86 runs,Chennai,"May 25, 2012",Twenty20
CSK,MI,CSK,38 runs,Bengaluru,"May 23, 2012",Twenty20
Daredevils,KKR,KKR,18 runs,Pune,"May 22, 2012",Twenty20
RR,MI,MI,10 wickets,Jaipur,"May 20, 2012",Twenty20
Chargers,RCB,Chargers,9 runs,Hyderabad,"May 20, 2012",Twenty20
Warriors,KKR,KKR,34 runs,Pune,"May 19, 2012",Twenty20
Kings XI,Daredevils,Daredevils,6 wickets,Dharamsala,"May 19, 2012",Twenty20
Chargers,RR,Chargers,5 wickets,Hyderabad,"May 18, 2012",Twenty20
Daredevils,RCB,RCB,21 runs,Delhi,"May 17, 2012",Twenty20
Kings XI,CSK,Kings XI,6 wickets,Dharamsala,"May 17, 2012",Twenty20
MI,KKR,KKR,32 runs,Wankhede,"May 16, 2012",Twenty20
Daredevils,Kings XI,Daredevils,5 wickets,Delhi,"May 15, 2012",Twenty20
KKR,CSK,CSK,5 wickets,Eden Gardens,"May 14, 2012",Twenty20
RCB,MI,MI,5 wickets,Bengaluru,"May 14, 2012",Twenty20
Kings XI,Chargers,Kings XI,4 wickets,Mohali,"May 13, 2012",Twenty20
RR,Warriors,RR,45 runs,Jaipur,"May 13, 2012",Twenty20
CSK,Daredevils,CSK,9 wickets,Chennai,"May 12, 2012",Twenty20
KKR,MI,MI,27 runs,Eden Gardens,"May 12, 2012",Twenty20
Warriors,RCB,RCB,35 runs,Pune,"May 11, 2012",Twenty20
RR,CSK,CSK,4 wickets,Jaipur,"May 10, 2012",Twenty20
Chargers,Daredevils,Daredevils,9 wickets,Hyderabad,"May 10, 2012",Twenty20
MI,RCB,RCB,9 wickets,Wankhede,"May 9, 2012",Twenty20
Chargers,Kings XI,Kings XI,25 runs,Hyderabad,"May 8, 2012",Twenty20
Warriors,RR,RR,7 wickets,Pune,"May 8, 2012",Twenty20
Daredevils,KKR,KKR,6 wickets,Delhi,"May 7, 2012",Twenty20
RCB,Chargers,RCB,5 wickets,Bengaluru,"May 6, 2012",Twenty20
MI,CSK,MI,2 wickets,Wankhede,"May 6, 2012",Twenty20
Kings XI,RR,RR,43 runs,Mohali,"May 5, 2012",Twenty20
KKR,Warriors,KKR,7 runs,Eden Gardens,"May 5, 2012",Twenty20
CSK,Chargers,CSK,10 runs,Chennai,"May 4, 2012",Twenty20
Warriors,MI,MI,1 run,Pune,"May 3, 2012",Twenty20
RCB,Kings XI,Kings XI,4 wickets,Bengaluru,"May 2, 2012",Twenty20
RR,Daredevils,Daredevils,6 wickets,Jaipur,"May 1, 2012",Twenty20
Chargers,Warriors,Chargers,13 runs,Cuttack,"May 1, 2012",Twenty20
CSK,KKR,KKR,5 wickets,Chennai,"Apr 30, 2012",Twenty20
MI,Chargers,MI,5 wickets,Wankhede,"Apr 29, 2012",Twenty20
Daredevils,RR,Daredevils,1 run,Delhi,"Apr 29, 2012",Twenty20
KKR,RCB,KKR,47 runs,Eden Gardens,"Apr 28, 2012",Twenty20
CSK,Kings XI,Kings XI,7 runs,Chennai,"Apr 28, 2012",Twenty20
Daredevils,MI,Daredevils,37 runs,Delhi,"Apr 27, 2012",Twenty20
Warriors,Chargers,Chargers,18 runs,Pune,"Apr 26, 2012",Twenty20
RCB,CSK,no result,-,Bengaluru,"Apr 25, 2012",Twenty20
Kings XI,MI,MI,4 wickets,Mohali,"Apr 25, 2012",Twenty20
Warriors,Daredevils,Daredevils,8 wickets,Pune,"Apr 24, 2012",Twenty20
RR,RCB,RCB,46 runs,Jaipur,"Apr 23, 2012",Twenty20
Chargers,KKR,KKR,5 wickets,Cuttack,"Apr 22, 2012",Twenty20
MI,Kings XI,Kings XI,6 wickets,Wankhede,"Apr 22, 2012",Twenty20
Daredevils,Warriors,Warriors,20 runs,Delhi,"Apr 21, 2012",Twenty20
CSK,RR,CSK,7 wickets,Chennai,"Apr 21, 2012",Twenty20
Kings XI,RCB,RCB,5 wickets,Mohali,"Apr 20, 2012",Twenty20
CSK,Warriors,CSK,13 runs,Chennai,"Apr 19, 2012",Twenty20
Daredevils,Chargers,Daredevils,5 wickets,Delhi,"Apr 19, 2012",Twenty20
Kings XI,KKR,KKR,8 wickets,Mohali,"Apr 18, 2012",Twenty20
RCB,Warriors,RCB,6 wickets,Bengaluru,"Apr 17, 2012",Twenty20
RR,Chargers,RR,5 wickets,Jaipur,"Apr 17, 2012",Twenty20
MI,Daredevils,Daredevils,7 wickets,Wankhede,"Apr 16, 2012",Twenty20
RCB,RR,RR,59 runs,Bengaluru,"Apr 15, 2012",Twenty20
KKR,Kings XI,Kings XI,2 runs,Eden Gardens,"Apr 15, 2012",Twenty20
Warriors,CSK,Warriors,7 wickets,Pune,"Apr 14, 2012",Twenty20
KKR,RR,KKR,5 wickets,Eden Gardens,"Apr 13, 2012",Twenty20
Kings XI,Warriors,Kings XI,7 wickets,Mohali,"Apr 12, 2012",Twenty20
CSK,RCB,CSK,5 wickets,Chennai,"Apr 12, 2012",Twenty20
MI,RR,MI,27 runs,Wankhede,"Apr 11, 2012",Twenty20
Daredevils,CSK,Daredevils,8 wickets,Delhi,"Apr 10, 2012",Twenty20
RCB,KKR,KKR,42 runs,Bengaluru,"Apr 10, 2012",Twenty20
Chargers,MI,MI,5 wickets,Visakhapatnam,"Apr 9, 2012",Twenty20
Warriors,Kings XI,Warriors,22 runs,Pune,"Apr 8, 2012",Twenty20
RR,KKR,RR,22 runs,Jaipur,"Apr 8, 2012",Twenty20
Chargers,CSK,CSK,74 runs,Visakhapatnam,"Apr 7, 2012",Twenty20
RCB,Daredevils,RCB,20 runs,Bengaluru,"Apr 7, 2012",Twenty20
RR,Kings XI,RR,31 runs,Jaipur,"Apr 6, 2012",Twenty20
MI,Warriors,Warriors,28 runs,Wankhede,"Apr 6, 2012",Twenty20
KKR,Daredevils,Daredevils,8 wickets,Eden Gardens,"Apr 5, 2012",Twenty20
CSK,MI,MI,8 wickets,Chennai,"Apr 4, 2012",Twenty20
Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
CSK,MI,MI,23 runs,Eden Gardens,"May 26, 2013",Twenty20
MI,RR,MI,4 wickets,Eden Gardens,"May 24, 2013",Twenty20
RR,SRH,RR,4 wickets,Delhi,"May 22, 2013",Twenty20
CSK,MI,CSK,48 runs,Delhi,"May 21, 2013",Twenty20
SRH,KKR,SRH,5 wickets,Hyderabad,"May 19, 2013",Twenty20
Warriors,Daredevils,Warriors,38 runs,Pune,"May 19, 2013",Twenty20
RCB,CSK,RCB,24 runs,Bengaluru,"May 18, 2013",Twenty20
Kings XI,MI,Kings XI,50 runs,Dharamsala,"May 18, 2013",Twenty20
SRH,RR,SRH,23 runs,Hyderabad,"May 17, 2013",Twenty20
Kings XI,Daredevils,Kings XI,7 runs,Dharamsala,"May 16, 2013",Twenty20
MI,RR,MI,14 runs,Wankhede,"May 15, 2013",Twenty20
KKR,Warriors,Warriors,7 runs,Ranchi,"May 15, 2013",Twenty20
CSK,Daredevils,CSK,33 runs,Chennai,"May 14, 2013",Twenty20
RCB,Kings XI,Kings XI,7 wickets,Bengaluru,"May 14, 2013",Twenty20
MI,SRH,MI,7 wickets,Wankhede,"May 13, 2013",Twenty20
